from,to,line,time
101,102,1,2
102,103,1,2
103,104,1,2
104,105,1,2
105,106,1,2
106,107,1,2
107,108,1,2
108,109,1,2
109,110,1,3
110,111,1,2
111,112,1,2
112,113,1,2
113,114,1,2
114,115,1,2
115,116,1,3
116,117,1,2
201,202,2,2
202,203,2,2
203,204,2,2
204,205,2,2
205,206,2,2
206,207,2,2
207,208,2,2
208,209,2,2
209,210,2,2
210,211,2,3
211,212,2,2
212,213,2,3
213,214,2,2
214,215,2,2
215,216,2,2
216,217,2,2
217,218,2,2
218,219,2,2
219,220,2,2
301,302,3,2
302,303,3,2
303,304,3,2
304,305,3,2
305,306,3,3
306,307,3,2
307,308,3,2
308,309,3,3
309,310,3,2
310,311,3,2
311,312,3,2
312,313,3,2
313,314,3,2
314,315,3,2
315,316,3,2
316,317,3,2
317,318,3,2
318,319,3,2
319,320,3,2
320,321,3,3
109,304,4,1  // 换乘站：购物公园
220,304,5,1   // 换乘站：上塘-购物公园
115,212,6,1   // 换乘站：世界之窗-大沙河
    
